intent,category,question,answer
social_media_catalog,General,Where can I see your full catalog nisaidie?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
refund_status,Returns,"Poa, Umeprocess refund yangu?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
payment_confirmation,Payment,"Samahani, Confirm payment please naomba msaada?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
greeting,General,"Samahani, Good morning je?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
minimum_order,Orders,Naeza order kitu kimoja tu?,"No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
refund_status,Returns,"Boss, Umenirudishia pesa asante?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
courier_tracking_number,Delivery,"Sasa, Naomba tracking number ya order yangu naomba kujua?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
greeting,General,Hello je?,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
order_status,Orders,"Hey, Has my order been shipped asante?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
receipt_request,Payments,Naomba receipt ya order yangu je?,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
social_media_catalog,General,"Habari, Where can I follow you online?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
social_media_catalog,General,"Sasa, Mko na Instagram au TikTok tafadhali?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
location_directions,General,"Habari, Naomba pin ya location yenu tafadhali?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
delivery_cost,Delivery,"Quick question, Is delivery free?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
minimum_order,Orders,Is there a minimum order amount je?,"No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
delivery_cost,Delivery,What's the shipping fee to Mombasa je?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
price_negotiation,Products,"Hi, Punguza kidogo bei naomba msaada?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
social_media_catalog,General,Do you have a Facebook page?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
wholesale_reseller,Products,"Msee, Mnauza kwa bei ya jumla?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
gift_wrapping,Products,Do you offer gift packaging?,Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
product_care_instructions,Products,"Excuse me, Can it be machine washed?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
payment_confirmation,Payment,"Naomba kuuliza, I have sent the money, have you received it?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
social_media_catalog,General,"Quick question, Mko na Instagram au TikTok asante?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
mpesa_payment,Payment,"Excuse me, How do I send payment for my order je?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
wholesale_reseller,Products,"Hi, Nataka kununua mengi kwa bei nafuu niuze naomba msaada?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
international_shipping,Delivery,"Hello, Do you ship internationally naomba msaada?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
opening_hours,General,"Hi, Do you work on public holidays nisaidie?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
refund_status,Returns,"Hi, Umeprocess refund yangu please?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
product_care_instructions,Products,"Niaje, Can it be machine washed je?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
minimum_order,Orders,"Sasa, Naeza order kitu kimoja tu je?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
complaint_escalation,General,I want to file a complaint,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
cancel_order,Orders,"Msee, Sitaki tena hii order, cancel naomba msaada?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
gift_wrapping,Products,"Karibu, mimi ni customer, Can you gift wrap my order?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
location_directions,General,Do you have a physical store or online only je?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
wrong_item,Returns,This is not what I ordered?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
receipt_request,Payments,"Sasa, Nataka invoice kwa order nisaidie?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
wrong_item,Returns,"Hey, The product doesn't match the photo?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
contact_human,General,Naomba nizungumze na mtu wa kweli je?,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
legitimacy_scam_concern,General,"Hey, Do you have reviews from other customers je?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
payment_confirmation,Payment,"Hey, I have sent the money, have you received it je?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
mpesa_payment,Payment,"Hi, How do I pay via M-Pesa?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
international_shipping,Delivery,"Quick question, Mnatuma nje ya Kenya basi?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
social_media_catalog,General,Where can I see your full catalog?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
cancel_order,Orders,"Naomba kuuliza, Is it possible to cancel after paying nisaidie?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
